R2_1-m/m;R2_2-m/m;R2_3-m/m;e_1;e_2
-0.000001195;-0.000000672;-0.000002036;-0.000000583;-0.000002648
-0.000001355;-0.000002055;-0.000002345;-0.000001314;-0.000002386
0.000001018;-0.000002438;-0.000002414;0.000001746;-0.000003142
-0.000003613;-0.000002865;-0.000001903;-0.000001896;-0.000003620
-0.000001557;-0.000001343;-0.000002669;-0.000001163;-0.000003063
-0.000002844;-0.000001679;-0.000001199;-0.000001131;-0.000002912
-0.000000258;-0.000001743;-0.000000206;0.000001279;-0.000001743
-0.000001360;0.000001044;-0.000000618;0.000001078;-0.000003056
-0.000000894;-0.000001433;-0.000002232;-0.000000881;-0.000002245
-0.000002183;0.000000610;-0.000004185;0.000000740;-0.000007108
-0.000000817;-0.000001300;-0.000001864;-0.000000815;-0.000001866
-0.000003502;-0.000002347;-0.000001095;-0.000001094;-0.000003503
-0.000001661;-0.000002056;-0.000001253;-0.000000824;-0.000002090
-0.000003339;-0.000002948;-0.000002722;-0.000002711;-0.000003350
-0.000000154;-0.000002069;-0.000002698;-0.000000001;-0.000002851
-0.000000826;-0.000000811;-0.000002503;-0.000000468;-0.000002861
-0.000003354;-0.000001983;-0.000003564;-0.000001979;-0.000004939
-0.000001954;-0.000002764;-0.000000974;-0.000000075;-0.000002853
-0.000001072;-0.000002123;-0.000001186;-0.000000133;-0.000002125
-0.000000959;-0.000001696;-0.000002202;-0.000000948;-0.000002213
-0.000002308;-0.000001642;-0.000002272;-0.000001642;-0.000002938
-0.000001765;-0.000002514;-0.000003309;-0.000001765;-0.000003309
-0.000002968;-0.000002154;-0.000001590;-0.000001579;-0.000002979
-0.000001041;-0.000001622;-0.000000567;0.000000048;-0.000001656
-0.000001428;-0.000001671;-0.000002178;-0.000001405;-0.000002201
-0.000001065;-0.000003052;-0.000002679;-0.000000442;-0.000003302
-0.000001632;-0.000001845;-0.000001993;-0.000001629;-0.000001996
-0.000002776;-0.000001475;-0.000000851;-0.000000793;-0.000002834
-0.000001785;-0.000002484;0.000000080;0.000001027;-0.000002732
-0.000001000;-0.000000657;-0.000002325;-0.000000458;-0.000002867
-0.000002269;-0.000002112;-0.000001517;-0.000001458;-0.000002328
-0.000001785;-0.000002662;-0.000002484;-0.000001502;-0.000002767
-0.000000637;-0.000002235;-0.000001730;0.000000002;-0.000002369
-0.000002599;-0.000001864;-0.000002185;-0.000001825;-0.000002959
-0.000002458;-0.000002894;-0.000003192;-0.000002452;-0.000003198
-0.000001888;-0.000004115;-0.000000541;0.000001763;-0.000004192
-0.000001525;-0.000003533;-0.000001989;0.000000034;-0.000003548
-0.000002693;-0.000001774;-0.000000398;-0.000000375;-0.000002716
-0.000000209;-0.000002161;-0.000001602;0.000000530;-0.000002341
-0.000002432;-0.000002248;-0.000002979;-0.000002172;-0.000003239
-0.000002739;-0.000004183;-0.000002098;-0.000000625;-0.000004212
-0.000003430;-0.000004172;-0.000003011;-0.000002246;-0.000004195
-0.000001936;-0.000004422;-0.000002002;0.000000484;-0.000004422
-0.000000935;-0.000001434;-0.000001071;-0.000000567;-0.000001439
-0.000001917;-0.000003690;-0.000001395;0.000000395;-0.000003707
-0.000000887;-0.000004205;-0.000003831;0.000000002;-0.000004720
-0.000001915;-0.000002806;-0.000004458;-0.000001859;-0.000004514
0.000000897;-0.000002978;-0.000002061;0.000002234;-0.000003398
-0.000001897;-0.000003203;-0.000003384;-0.000001708;-0.000003573
-0.000002533;-0.000001545;-0.000004278;-0.000001351;-0.000005460
-0.000001720;-0.000000360;-0.000002496;-0.000000317;-0.000003899
-0.000004083;-0.000001335;-0.000003984;-0.000001335;-0.000006732
-0.000002649;-0.000002414;-0.000001840;-0.000001806;-0.000002683
-0.000002334;-0.000002269;-0.000003835;-0.000001976;-0.000004193
-0.000002690;-0.000003000;-0.000001267;-0.000000734;-0.000003223
-0.000001267;-0.000002573;-0.000001237;0.000000069;-0.000002573
-0.000002340;-0.000003510;-0.000001758;-0.000000559;-0.000003539
-0.000000935;-0.000003447;-0.000001962;0.000000615;-0.000003512
-0.000001292;-0.000000933;-0.000003461;-0.000000571;-0.000004182
-0.000001160;-0.000001388;-0.000001479;-0.000001146;-0.000001493
-0.000002318;-0.000001396;-0.000001069;-0.000001002;-0.000002385
-0.000002810;-0.000002206;-0.000002086;-0.000002013;-0.000002883
-0.000001159;-0.000001553;-0.000003601;-0.000000905;-0.000003855
-0.000000238;-0.000001902;-0.000002159;-0.000000008;-0.000002389
-0.000002184;-0.000001747;-0.000001653;-0.000001602;-0.000002235
-0.000001805;-0.000004042;-0.000003614;-0.000001099;-0.000004320
-0.000002469;-0.000002794;-0.000001433;-0.000000962;-0.000002940
-0.000003230;-0.000002059;-0.000002236;-0.000001896;-0.000003570
-0.000002941;-0.000002082;-0.000004646;-0.000001881;-0.000005706
-0.000002826;-0.000001805;-0.000001601;-0.000001477;-0.000002950
-0.000003830;-0.000002305;-0.000002217;-0.000001943;-0.000004104
-0.000001640;-0.000002529;-0.000001882;-0.000000984;-0.000002538
-0.000002661;-0.000002563;-0.000001474;-0.000001294;-0.000002841
-0.000003278;-0.000002556;-0.000002599;-0.000002427;-0.000003450
-0.000003702;-0.000003952;-0.000002145;-0.000001634;-0.000004213
-0.000002467;-0.000001802;-0.000002085;-0.000001765;-0.000002787
-0.000001463;-0.000002258;-0.000002956;-0.000001461;-0.000002958
-0.000002811;-0.000004064;-0.000003647;-0.000002295;-0.000004163
-0.000001760;-0.000002066;-0.000004123;-0.000001471;-0.000004412
-0.000001221;-0.000001762;-0.000003428;-0.000001086;-0.000003563
-0.000000631;-0.000003434;-0.000001947;0.000000955;-0.000003533
-0.000003800;-0.000002381;-0.000004678;-0.000002330;-0.000006148
-0.000002448;-0.000002448;-0.000003927;-0.000002142;-0.000004233
-0.000003533;-0.000001952;-0.000005074;-0.000001829;-0.000006778
-0.000004021;-0.000004216;0.000000334;0.000001377;-0.000005064
-0.000002146;-0.000003018;-0.000001267;-0.000000323;-0.000003090
-0.000004029;-0.000002973;-0.000001745;-0.000001742;-0.000004032
-0.000000965;-0.000002287;-0.000002653;-0.000000839;-0.000002779
-0.000003116;-0.000001130;-0.000002325;-0.000001082;-0.000004359
-0.000002447;-0.000002238;-0.000002760;-0.000002206;-0.000003001
-0.000002486;-0.000001968;-0.000002486;-0.000001968;-0.000003004
-0.000000560;-0.000002769;-0.000002925;-0.000000177;-0.000003308
-0.000003558;-0.000002444;-0.000001948;-0.000001891;-0.000003615
-0.000000826;-0.000000715;-0.000000820;-0.000000715;-0.000000931
-0.000000778;-0.000002522;-0.000001834;0.000000020;-0.000002632
-0.000001804;-0.000002173;-0.000002527;-0.000001804;-0.000002527
-0.000003084;-0.000002416;-0.000002501;-0.000002316;-0.000003269
-0.000001674;-0.000002820;-0.000000879;0.000000317;-0.000002870
-0.000001319;-0.000002494;-0.000001336;-0.000000161;-0.000002494
-0.000001870;-0.000002550;-0.000000624;0.000000197;-0.000002691
-0.000002710;-0.000002214;-0.000002204;-0.000002106;-0.000002808
-0.000000525;-0.000002884;-0.000003059;-0.000000119;-0.000003465
-0.000002923;-0.000002638;-0.000001845;-0.000001788;-0.000002980
-0.000003528;-0.000002214;-0.000002913;-0.000002168;-0.000004273
-0.000002193;0.000000538;-0.000002545;0.000000543;-0.000005281
-0.000002504;-0.000003439;-0.000001678;-0.000000681;-0.000003501
-0.000002364;-0.000002538;-0.000000388;0.000000149;-0.000002901
0.000000849;-0.000003883;-0.000001135;0.000003726;-0.000004012
-0.000001383;-0.000002000;-0.000001038;-0.000000402;-0.000002019
-0.000000039;-0.000002018;-0.000000726;0.000001289;-0.000002054
-0.000001780;-0.000001928;-0.000000988;-0.000000711;-0.000002057
-0.000000845;-0.000001516;0.000000131;0.000000901;-0.000001615
0.000000405;-0.000001891;-0.000000571;0.000001790;-0.000001956
-0.000001352;-0.000001328;0.000001110;0.000001603;-0.000001845
-0.000002218;-0.000001157;0.000001120;0.000001227;-0.000002325
