Selected,Recession,RealEstate,Portion,Default
1,1,0,0.5,0
1,0,0,0.5,0
1,0,1,1.0,0
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,0
1,0,1,1.0,0
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,0
1,0,1,0.75,0
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,1
1,1,0,0.5,1
1,1,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,0
1,1,0,0.5,1
1,0,0,0.5,1
1,0,0,0.8,1
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,1
1,1,0,0.5,1
1,0,1,1.0,0
1,0,0,0.5,0
1,1,0,0.5,1
1,0,0,0.5,1
1,1,0,0.5,0
1,0,0,0.8,0
1,1,0,0.5,1
1,1,0,0.5,0
1,1,0,0.5,1
1,0,0,0.5,0
1,1,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,0
1,0,1,0.75,0
1,0,0,0.5,0
1,0,0,0.5,1
1,1,0,0.5,1
1,1,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.85,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,1,1.0,0
1,0,0,0.5,0
1,0,0,0.75,0
1,0,0,0.75,0
1,0,1,0.75,0
1,0,0,0.85,0
1,0,1,0.75,0
1,1,0,0.5,1
1,0,0,0.5,1
1,0,0,0.75,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,0
1,0,1,1.0,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,1,1.0,0
1,0,0,0.8,0
1,0,0,0.5,1
1,1,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,1,0,0.5,1
1,0,0,0.5,0
1,1,0,0.5,1
1,1,0,0.5,1
1,1,0,0.5,1
1,0,0,0.5,1
1,0,1,1.0,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.85,1
1,0,0,0.5,0
1,0,1,0.75,0
1,0,0,0.5,0
1,1,0,0.75,0
1,1,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,1
1,1,0,0.85,0
1,0,0,0.5,1
1,0,0,0.5,0
1,1,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.75,0
1,0,0,0.5,1
1,1,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.85,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.75,0
1,0,1,0.85,0
1,0,0,0.85,0
1,0,0,0.85,0
1,0,0,0.5,0
1,0,0,0.5,0
1,0,1,1.0,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,1,0.749999041,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.8,0
1,0,0,0.5,0
1,0,1,1.0,0
1,1,0,0.75,0
1,0,0,0.5,0
1,0,0,0.5,1
1,1,0,0.5,1
1,0,0,0.5,0
1,0,0,0.85,0
1,0,1,1.0,0
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,0
1,0,1,0.75,1
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,0
1,1,0,0.8,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.8,0
1,1,0,0.75,0
1,0,0,0.8,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.85,1
1,1,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,1
1,0,1,0.75,0
1,1,0,0.75,0
1,0,1,0.75,1
1,0,1,0.75,0
1,0,1,0.75,0
1,0,1,1.0,0
1,0,0,0.5,1
1,0,0,0.5,0
1,1,0,0.5,1
1,0,0,0.5,0
1,0,0,0.85,1
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,1,0,0.5,1
1,0,0,0.5,1
1,0,0,0.5,1
1,0,1,1.0,0
1,0,0,0.85,1
1,0,0,0.5,0
1,0,0,0.5,1
1,0,0,0.85,1
1,0,0,0.5,0
1,0,1,0.75,0
1,0,0,0.75,1
1,0,0,0.5,1
